ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
44,variable,woo-vneck-tee,Camiseta Cuello en V,1,1,visible,Este es un producto variable.,"Este producto, Camiseta Cuello en V, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,0.5,24.0,1.0,2.0,1,,,,Clothing > Tshirts,,,"https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vneck-tee-2.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vnech-tee-green-1.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vnech-tee-blue-1.jpg",,,,,,,,,0,Color,"Blue, Green, Red",1.0,1.0,Size,"Large, Medium, Small",1.0,1.0,1.0,,,,
45,variable,woo-hoodie,Sudadera con Capucha,1,0,visible,Este es un producto variable.,"Este producto, Sudadera con Capucha, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,1.5,10.0,8.0,3.0,1,,,,Clothing > Hoodies,,,"https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-2.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-blue-1.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-green-1.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-logo-2.jpg",,,,,,,,,0,Color,"Blue, Green, Red",1.0,1.0,Logo,"Yes, No",1.0,0.0,1.0,,,,
46,simple,woo-hoodie-with-logo,Sudadera con Capucha y Logo,1,0,visible,Este es un producto simple.,"Este producto, Sudadera con Capucha y Logo, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,2.0,10.0,6.0,3.0,1,,,45.0,Clothing > Hoodies,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-logo-2.jpg,,,,,,,,,0,Color,Blue,1.0,1.0,,,,,1.0,,,,
47,simple,woo-tshirt,Camiseta,1,0,visible,Este es un producto simple.,"Este producto, Camiseta, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,0.8,8.0,6.0,1.0,1,,,18.0,Clothing > Tshirts,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/tshirt-2.jpg,,,,,,,,,0,Color,Gray,1.0,1.0,,,,,1.0,,,,
48,simple,woo-beanie,Gorro,1,0,visible,Este es un producto simple.,"Este producto, Gorro, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,0.2,4.0,5.0,0.5,1,,18.0,20.0,Clothing > Accessories,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/beanie-2.jpg,,,,,,,,,0,Color,Red,1.0,1.0,,,,,1.0,,,,
58,simple,woo-belt,Cinturón,1,0,visible,Este es un producto simple.,"Este producto, Cinturón, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,1.2,12.0,2.0,1.5,1,,55.0,65.0,Clothing > Accessories,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/belt-2.jpg,,,,,,,,,0,,,,,,,,,1.0,,,,
60,simple,woo-cap,Gorra,1,1,visible,Este es un producto simple.,"Este producto, Gorra, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,0.6,8.0,6.5,4.0,1,,16.0,18.0,Clothing > Accessories,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/cap-2.jpg,,,,,,,,,0,Color,Yellow,1.0,1.0,,,,,1.0,,,,
62,simple,woo-sunglasses,Gafas de Sol,1,1,visible,Este es un producto simple.,"Este producto, Gafas de Sol, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,0.2,4.0,1.4,1.0,1,,,90.0,Clothing > Accessories,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/sunglasses-2.jpg,,,,,,,,,0,,,,,,,,,1.0,,,,
64,simple,woo-hoodie-with-pocket,Sudadera con Capucha y Bolsillo,1,1,hidden,Este es un producto simple.,"Este producto, Sudadera con Capucha y Bolsillo, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,3.0,10.0,8.0,2.0,1,,35.0,45.0,Clothing > Hoodies,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-pocket-2.jpg,,,,,,,,,0,Color,Gray,1.0,1.0,,,,,1.0,,,,
66,simple,woo-hoodie-with-zipper,Sudadera con Capucha y Cremallera,1,1,visible,Este es un producto simple.,"Este producto, Sudadera con Capucha y Cremallera, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,2.0,8.0,6.0,2.0,1,,,45.0,Clothing > Hoodies,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-zipper-2.jpg,,,,,,,,,0,,,,,,,,,1.0,,,,
68,simple,woo-long-sleeve-tee,Camiseta de Manga Larga,1,0,visible,Este es un producto simple.,"Este producto, Camiseta de Manga Larga, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,1.0,7.0,5.0,1.0,1,,,25.0,Clothing > Tshirts,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/long-sleeve-tee-2.jpg,,,,,,,,,0,Color,Green,1.0,1.0,,,,,1.0,,,,
70,simple,woo-polo,Polo,1,0,visible,Este es un producto simple.,"Este producto, Polo, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,0.8,6.0,5.0,1.0,1,,,20.0,Clothing > Tshirts,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/polo-2.jpg,,,,,,,,,0,Color,Blue,1.0,1.0,,,,,1.0,,,,
73,"simple, downloadable, virtual",woo-album,Álbum,1,0,visible,"This is a simple, virtual product.","Este producto, Álbum, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,1,,,15.0,Music,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2022/05/album-1.jpg,1.0,1.0,,,,,,,0,,,,,,,,,1.0,Single 1,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,Single 2,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/album.jpg
75,"simple, downloadable, virtual",woo-single,Sencillo,1,0,visible,"This is a simple, virtual product.","Este producto, Sencillo, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,1,,2.0,3.0,Music,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/single-1.jpg,1.0,1.0,,,,,,,0,,,,,,,,,1.0,Single,https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,,
76,variation,woo-vneck-tee-red,Camiseta Cuello en V - Rojo,1,0,visible,,"Este producto, Camiseta Cuello en V - Rojo, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,0,,,20.0,,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vneck-tee-2.jpg,,,woo-vneck-tee,,,,,,0,Color,Red,,1.0,Size,,,1.0,,,,,
77,variation,woo-vneck-tee-green,Camiseta Cuello en V - Verde,1,0,visible,,"Este producto, Camiseta Cuello en V - Verde, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,0,,,20.0,,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vnech-tee-green-1.jpg,,,woo-vneck-tee,,,,,,0,Color,Green,,1.0,Size,,,1.0,,,,,
78,variation,woo-vneck-tee-blue,Camiseta Cuello en V - Azul,1,0,visible,,"Este producto, Camiseta Cuello en V - Azul, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,0,,,15.0,,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/vnech-tee-blue-1.jpg,,,woo-vneck-tee,,,,,,0,Color,Blue,,1.0,Size,,,1.0,,,,,
79,variation,woo-hoodie-red,"Sudadera con Capucha - Rojo, No",1,0,visible,,"Este producto, Sudadera con Capucha - Rojo, No, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,0,,42.0,45.0,,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-2.jpg,,,woo-hoodie,,,,,,1,Color,Red,,1.0,Logo,No,,0.0,,,,,
80,variation,woo-hoodie-green,"Sudadera con Capucha - Verde, No",1,0,visible,,"Este producto, Sudadera con Capucha - Verde, No, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,0,,,45.0,,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-green-1.jpg,,,woo-hoodie,,,,,,2,Color,Green,,1.0,Logo,No,,0.0,,,,,
81,variation,woo-hoodie-blue,"Sudadera con Capucha - Azul, No",1,0,visible,,"Este producto, Sudadera con Capucha - Azul, No, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,0,,,45.0,,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-blue-1.jpg,,,woo-hoodie,,,,,,3,Color,Blue,,1.0,Logo,No,,0.0,,,,,
83,simple,Woo-tshirt-logo,Camiseta con Logo,1,0,visible,Este es un producto simple.,"Este producto, Camiseta con Logo, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,0.5,10.0,12.0,0.5,1,,,18.0,Clothing > Tshirts,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/t-shirt-with-logo-1.jpg,,,,,,,,,0,Color,Gray,1.0,1.0,,,,,1.0,,,,
85,simple,Woo-beanie-logo,Gorro con Logo,1,0,visible,Este es un producto simple.,"Este producto, Gorro con Logo, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,0.2,6.0,4.0,1.0,1,,18.0,20.0,Clothing > Accessories,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/beanie-with-logo-1.jpg,,,,,,,,,0,Color,Red,1.0,1.0,,,,,1.0,,,,
87,grouped,logo-collection,Colección con Logo,1,0,visible,Este es un kit.,"Este producto, Colección con Logo, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,1,,,,Clothing,,,"https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/logo-1.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/beanie-with-logo-1.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/t-shirt-with-logo-1.jpg, https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-logo-2.jpg",,,,"woo-hoodie-with-logo, woo-tshirt, woo-beanie",,,,,0,,,,,,,,,1.0,,,,
89,external,wp-pennant,Banderín de WordPress,1,0,visible,Este es un producto externo.,"Este producto, Banderín de WordPress, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,1,,,11.05,Decor,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/pennant-1.jpg,,,,,,,https://mercantile.wordpress.org/product/wordpress-pennant/,Buy on the WordPress swag store!,0,,,,,,,,,1.0,,,,
90,variation,woo-hoodie-blue-logo,"Sudadera con Capucha - Azul, Sí",1,0,visible,,"Este producto, Sudadera con Capucha - Azul, Sí, es de la más alta calidad. Perfecto para el uso diario, te brinda comodidad y estilo sin igual. Elaborado con excelentes materiales, es la elección ideal para ti. ¡No dejes pasar la oportunidad de añadir este gran artículo a tu colección!",,,taxable,,1,,0,0,,,,,0,,,45.0,,,,https://woocommercecore.mystagingwebsite.com/wp-content/uploads/2017/12/hoodie-with-logo-2.jpg,,,woo-hoodie,,,,,,0,Color,Blue,,1.0,Logo,Yes,,0.0,,,,,
